data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6704766,818,EGY1450,1450,"31 December 2011",2011,1,Protests,"Peaceful protest","Protesters (Egypt)",,6,,,0,60,"Northern Africa",Egypt,Cairo,"Qasr al Nile",,"Cairo-Qasr al Nile",30.0488,31.2343,1,VOA,International,"Hundreds gather in Tahrir Square to commemorate those killed in the uprising that toppled former President Hosni Mubarak. Mubarak is charged with involvement in the killings of more than 800 people during the anti-government protests that forced him from office in February.",0,1578503457,EGY
6266224,586,PAK40268,40268,"31 December 2011",2011,1,Protests,"Peaceful protest","Protesters (Pakistan)","Labour Group (Pakistan)",6,,,0,60,"South Asia",Pakistan,"Azad Jammu and Kashmir",Muzaffarabad,Muzaffarabad,Muzaffarabad,34.37,73.4708,1,"Frontier Post",National,"On December 31st, intra-kashmir traders pulled up nearly 120 trucks along the Jhellum valley road in Muzaffarabad and staged a protest demonstration against custom officials for alleged intimidation tactics.",0,1572403717,PAK
5979813,818,EGY10021,10021,"31 December 2011",2011,1,Riots,"Violent demonstration","Rioters (Egypt)",,5,,,0,50,"Northern Africa",Egypt,Giza,Imbaba,,"Manshiyat al Qanatir",30.1856,31.1082,1,Youm7,National,"On 31 December 2011, residents of the village of Abu Ghalib set fire to the Orascom Company equipment and facilities in the Manshiyat al Qanatir area of Giza governorate to protest the establishment of a power station in their village that they believed to be a nuclear power plant which was, in fact, not the case.",0,1569279142,EGY
5935465,586,PAK9048,9048,"31 December 2011",2011,1,Protests,"Peaceful protest","Protesters (Pakistan)",,6,,,0,60,"South Asia",Pakistan,Sindh,Dadu,Dadu,Dadu,26.7328,67.7763,1,"Daily Regional Times (Pakistan)",Subnational,"The rain affected growers of different union councils of Dadu led by Yaqoob Shahani, Muhammad Khan and others staged protest demonstration against the non provision of fertilizers and seeds to them outside the office of Mukhtiarkar Dadu.",0,1567539380,PAK
5614799,50,BGD12031,12031,"31 December 2011",2011,1,Protests,"Peaceful protest","Protesters (Bangladesh)","Students (Bangladesh)",6,,,0,60,"South Asia",Bangladesh,Khulna,Khulna,Khulna,Khulna,22.8097,89.5643,1,"United News of Bangladesh",National,"On 31 December, students protested against corruption over the supply of low quality food at a festival at Amar Ekushey Hall in Kuet in Khulna, Khulna.",0,1563887830,BGD
5585277,50,BGD12030,12030,"31 December 2011",2011,1,Riots,"Mob violence","Rioters (Bangladesh)","Muslim Group (Bangladesh)",5,"Police Forces of Bangladesh (2009-)",,1,15,"South Asia",Bangladesh,Rajshahi,Joypurhat,Joypurhat,Joypurhat,25.0945,89.0229,2,"Daily Star (Bangladesh)",National,"On 31 December, at least four policemen were injured by a mob at a waz mehfil (religious programme) at Baraki-Borail village of Sadar upazila in Joypurhat in Rajshahi.",0,1563366742,BGD
5585276,50,BGD12029,12029,"31 December 2011",2011,1,Riots,"Mob violence","Rioters (Bangladesh)",,5,"Rioters (Bangladesh)",,5,55,"South Asia",Bangladesh,Khulna,Jessore,Sharsha,Benapole,23.047,88.9059,2,"Daily Star (Bangladesh)",National,"On 31 December, at least 10 people, including five women, were injured as two groups of villagers had an altercation over a trivial matter at Dhanno khola village under Benapole Police Station in Jessore district in Khulna.",0,1563366742,BGD
5532253,586,PAK9049,9049,"31 December 2011",2011,1,Protests,"Peaceful protest","Protesters (Pakistan)",,6,,,0,60,"South Asia",Pakistan,Sindh,"Karachi City","Karachi East",Karachi,24.9056,67.0822,1,"Pak Banker",National,"Sugar mills have once again failed to comply with the government's notificationregarding sugar cane crushing. Lodging their protest against the attitude of the millers, the farmers have resorted to protest by blocking various roads in the area.",0,1561474270,PAK
4935763,116,KHM1026,1026,"31 December 2011",2011,1,Protests,"Peaceful protest","Protesters (Cambodia)","Labour Group (Cambodia)",6,,,0,60,"Southeast Asia",Cambodia,Kandal,"Angk Snuol","Angk Snuol","Angk Snuol",11.5065,104.7159,2,"Phnom Penh Post",National,"On 31 December 2011, more than 200 striking garment workers protested outside Kwei Yang Co Ltd, in Ang Snuol district, Kandal province. The workers had nine demands for the factory's management, including the review of a monthly health bonus.",0,1552577524,KHM
7261660,586,PAK9038,9038,"30 December 2011",2011,1,Protests,"Peaceful protest","Protesters (Pakistan)","PMA: Pakistan Medical Association; Health Workers (Pakistan)",6,,,0,60,"South Asia",Pakistan,Sindh,Umerkot,Samaro,Samaro,25.2814,69.3962,1,"Daily Regional Times (Pakistan)",Subnational,"The members of Pakistan Medical Association Samaro Chapter took a protest rally for arrest of the accused men who have looted the house of senior doctor namely Jodhomal. The rally after marching through various routes of the city culminated outside the Samaro Press Club.",0,1603755457,PAK
